,id,result_desc,param1,param2,r2_score_mean,mse_mean,rmse_mean,r2_score_stddev,mse_score_stddev,rmse_score_stddev,memory_used_mean,time_mean,memory_used_stddev,time_stddev
0,ID1n_estimators300_window_size0.5,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_0.5,300,0.5,0.819329499170782,1.8380150931597705,1.3505641459309117,0.024793776065340268,0.3142265736012596,0.11828601306020034,23307878.4,15.568473756033928,30107004.1540735,0.8083947502179335
15,ID16n_estimators20_window_size0.5,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_0.5,20,0.5,0.8171488889204671,1.846564676762408,1.3544254995629579,0.029800933068447038,0.30256080841594524,0.10998292092884143,1454080.0,4.2757506822003055,6434464.271482063,0.10109149723678634
18,ID19n_estimators20_window_size5.0,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_5.0,20,5.0,0.8144844512893045,1.8571144689726868,1.3604505294143812,0.025173025603119265,0.2125501076256562,0.07930211843839519,2302771.2,4.257520077377558,8074447.36610318,0.10843428407810776
3,ID4n_estimators300_window_size5.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_5.0,300,5.0,0.8127501419431529,1.8956799366468347,1.3664636922183766,0.04809750075657323,0.460560590182075,0.1686917736457728,44022169.6,7.521921142213978,59500623.45696137,0.15665958951434697
3,ID4n_estimators300_window_size5.0,ETERRY-Human1Dist_TSForest_n_estimators=300_window_size_5.0,300,5.0,0.8103597365055644,1.8660965286608129,1.3599959738206588,0.053405820222994886,0.35600512381612526,0.12848143777375115,2180710.4,15.889828490582294,3428673.1074472293,0.09917805107344406
16,ID17n_estimators20_window_size1.0,ETERRY-Human1Dist_TSForest_n_estimators=20_window_size_1.0,20,1.0,0.8056603890495353,1.9510745430228364,1.3913864140874455,0.03323440187735118,0.335019286884895,0.1229568611982127,1778483.2,4.3589927620021625,3643403.765332325,0.18901920654682722
14,ID15n_estimators50_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=50_window_size_10.0,50,10.0,0.7327331839956213,2.7064918343837094,1.641252607476861,0.03641862080255479,0.37203611638646117,0.11305623748433612,2232320.0,6.68783198739402,33290876.744891703,0.1093702093416139
4,ID5n_estimators300_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=300_window_size_10.0,300,10.0,0.7315347470811405,2.7123024621541987,1.633433616728438,0.0685053095575566,0.6920212825176331,0.2102310202982715,11639193.6,6.886679642368108,16820207.836427152,0.1333051056187237
9,ID10n_estimators150_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=150_window_size_10.0,150,10.0,0.7278787559716953,2.7813614990823146,1.6584476390833465,0.03718133444653192,0.5682467681433021,0.17582072545973884,18119884.8,6.847198453382589,24518783.327380717,0.10604767499183483
19,ID20n_estimators20_window_size10.0,ETERRY-Human1DistTSFreshWin_GradBoost_n_estimators=20_window_size_10.0,20,10.0,0.7110185779557495,2.925815657072944,1.707917625987547,0.028418932030182902,0.3254916891201826,0.0939842535428423,677478.4,6.667816412798129,55094868.52953788,0.1872500190430288
14,ID15max_alpha20_window_size10.0,ETERRY-Human1Dist_TSFreshWin_Ridge_max_alpha=20_window_size_10.0,20,10.0,0.7044137040919065,2.9972329649093665,1.7243689303263174,0.04556455637970204,0.5429958603178012,0.1542230755582262,1340211.2,6.703673398820683,54949621.01513761,0.18136225112227705
